movie_link,movie_name,movie_rating
https://movie.douban.com/subject/1297630/,第六感,8.9
https://movie.douban.com/subject/1297359/,幽灵公主,8.9
https://movie.douban.com/subject/1291999/,重庆森林,8.8
https://movie.douban.com/subject/25814705/,小森林 夏秋篇,9.0
https://movie.douban.com/subject/1296339/,爱在黎明破晓前,8.8
https://movie.douban.com/subject/1291875/,阳光灿烂的日子,8.8
https://movie.douban.com/subject/1292434/,一一,9.1
https://movie.douban.com/subject/1296996/,哈利·波特与密室,8.8
https://movie.douban.com/subject/3395373/,蝙蝠侠：黑暗骑士崛起,8.8
https://movie.douban.com/subject/1293359/,菊次郎的夏天,8.9
https://movie.douban.com/subject/11026735/,超能陆战队,8.7
https://movie.douban.com/subject/21318488/,消失的爱人,8.7
https://movie.douban.com/subject/1292337/,无人知晓,9.1
https://movie.douban.com/subject/1300992/,完美的世界,9.1
https://movie.douban.com/subject/25814707/,小森林 冬春篇,9.0
https://movie.douban.com/subject/1291990/,爱在日落黄昏时,8.9
https://movie.douban.com/subject/1297447/,倩女幽魂,8.8
https://movie.douban.com/subject/1297052/,侧耳倾听,8.9
https://movie.douban.com/subject/4202302/,借东西的小人阿莉埃蒂,8.9
https://movie.douban.com/subject/1305164/,甜蜜蜜,8.9
https://movie.douban.com/subject/5989818/,萤火之森,8.9
https://movie.douban.com/subject/2353023/,驯龙高手,8.7
https://movie.douban.com/subject/1292274/,幸福终点站,8.8
https://movie.douban.com/subject/3072124/,玛丽和马克思,8.9
https://movie.douban.com/subject/10577869/,时空恋旅人,8.8
https://movie.douban.com/subject/1291579/,怪兽电力公司,8.7
https://movie.douban.com/subject/1291545/,大鱼,8.8
https://movie.douban.com/subject/4268598/,告白,8.8
https://movie.douban.com/subject/4917726/,阳光姐妹淘,8.8
https://movie.douban.com/subject/1316510/,射雕英雄传之东成西就,8.7
https://movie.douban.com/subject/1294240/,教父3,9.0
https://movie.douban.com/subject/3287562/,神偷奶爸,8.6
https://movie.douban.com/subject/1418200/,傲慢与偏见,8.7
https://movie.douban.com/subject/1858711/,玩具总动员3,8.9
https://movie.douban.com/subject/25986180/,釜山行,8.6
https://movie.douban.com/subject/26628357/,一个叫欧维的男人决定去死,8.9
https://movie.douban.com/subject/21360417/,恐怖直播,8.7
https://movie.douban.com/subject/6307447/,被解救的姜戈,8.8
https://movie.douban.com/subject/1307315/,哪吒闹海,9.1
https://movie.douban.com/subject/1395091/,未麻的部屋,9.0
https://movie.douban.com/subject/26325320/,血战钢锯岭,8.7
https://movie.douban.com/subject/27010768/,寄生虫,8.8
https://movie.douban.com/subject/4920389/,头号玩家,8.7
https://movie.douban.com/subject/1306861/,我是山姆,9.0
https://movie.douban.com/subject/1295399/,七武士,9.3
https://movie.douban.com/subject/10437779/,新世界,8.9
https://movie.douban.com/subject/1303037/,喜宴,8.9
https://movie.douban.com/subject/1309055/,哈利·波特与火焰杯,8.7
https://movie.douban.com/subject/1302467/,黑客帝国3：矩阵革命,8.8
https://movie.douban.com/subject/1417598/,电锯惊魂,8.7
https://movie.douban.com/subject/10463953/,模仿游戏,8.7
https://movie.douban.com/subject/1291557/,花样年华,8.7
https://movie.douban.com/subject/1291822/,卢旺达饭店,8.9
https://movie.douban.com/subject/26611804/,三块广告牌,8.7
https://movie.douban.com/subject/1292208/,上帝之城,9.0
https://movie.douban.com/subject/1907966/,疯狂原始人,8.7
https://movie.douban.com/subject/1291585/,风之谷,8.9
https://movie.douban.com/subject/26683290/,你的名字。,8.5
https://movie.douban.com/subject/10533913/,头脑特工队,8.8
https://movie.douban.com/subject/1578507/,谍影重重3,8.8
https://movie.douban.com/subject/1297574/,英雄本色,8.6
https://movie.douban.com/subject/1793929/,达拉斯买家俱乐部,8.8
https://movie.douban.com/subject/1295409/,纵横四海,8.8
https://movie.douban.com/subject/25917973/,心迷宫,8.7
https://movie.douban.com/subject/3792799/,岁月神偷,8.7
https://movie.douban.com/subject/1293181/,惊魂记,9.0
https://movie.douban.com/subject/1304447/,记忆碎片,8.7
https://movie.douban.com/subject/25895901/,海街日记,8.8
https://movie.douban.com/subject/1959195/,忠犬八公物语,9.2
